Protocol ID,Protocol name,Measurement date & time,Completion status,Run ID,Rack,Det,Pos,Time,Sample code,Cu-64 Counts,Cu-64 CPM,Cu-64 Error %,Cu-64 Info,Coordinates,
51,Cu-64 Counts,3/11/2021 19:13,0,1889,6,1,9,60.04,,22131.73,23691.83,0.67,,"[-2,-3,0]",
51,Cu-64 Counts,3/11/2021 19:15,0,1889,6,1,10,60.04,,1211992.45,1453317.98,0.09,,"[-2,-2,0]",
51,Cu-64 Counts,3/11/2021 19:16,0,1889,7,1,1,60.03,,129970.07,141039.52,0.28,,"[-2,-1,0]",
51,Cu-64 Counts,3/11/2021 19:17,0,1889,7,1,2,60.04,,22092.43,23740.09,0.67,,"[-2,0,0]",
51,Cu-64 Counts,3/11/2021 19:19,0,1889,7,1,3,60.05,,9894.08,10615.37,1.01,,"[-2,1,0]",
51,Cu-64 Counts,3/11/2021 19:20,0,1889,7,1,4,60.03,,1755.5,1864.94,2.4,,"[-2,2,0]",
51,Cu-64 Counts,3/11/2021 19:21,0,1889,7,1,5,60.04,,2917.85,3119.42,1.86,,"[-2,3,0]",
51,Cu-64 Counts,3/11/2021 19:22,0,1889,7,1,6,60.05,,6927.11,7447.81,1.2,,"[-3,-3,0]",
51,Cu-64 Counts,3/11/2021 19:24,0,1889,7,1,7,60.04,,1364465.61,1669149.1,0.08,,"[-3,-2,0]",
51,Cu-64 Counts,3/11/2021 19:25,0,1889,7,1,8,60.04,,148300.07,162420.94,0.26,,"[-3,-1,0]",
51,Cu-64 Counts,3/11/2021 19:26,0,1889,7,1,9,60.04,,6022.69,6495.25,1.29,,"[-3,0,0]",
51,Cu-64 Counts,3/11/2021 19:27,0,1889,7,1,10,60.05,,1929.07,2064.94,2.29,,"[-3,1,0]",
51,Cu-64 Counts,3/11/2021 19:29,0,1889,8,1,1,60.03,,2190.99,2353.05,2.15,,"[-3,2,0]",
51,Cu-64 Counts,3/11/2021 19:30,0,1889,8,1,2,60.05,,3675.52,3967.56,1.65,,"[-3,3,0]",
51,Cu-64 Counts,3/11/2021 19:32,0,1889,8,1,3,60.04,,4860.09,5262.05,1.44,,"[-4,-3,0]",
51,Cu-64 Counts,3/11/2021 19:33,0,1889,8,1,4,60.05,,1140938.61,1381811.92,0.09,,"[-4,-2,0]",BONE
51,Cu-64 Counts,3/11/2021 19:34,0,1889,8,1,5,60.04,,242417.59,270276.19,0.2,,"[-4,1,0]",
51,Cu-64 Counts,3/11/2021 19:35,0,1889,8,1,6,60.04,,5667.26,6161.09,1.33,,"[-4,2,0]",
51,Cu-64 Counts,3/11/2021 19:36,0,1889,8,1,7,60.04,,1050.5,1122.84,3.12,,"[-5,-3,0]",
51,Cu-64 Counts,3/11/2021 19:38,0,1889,8,1,8,60.04,,6781.44,7393.58,1.22,,"[-5,-2,0]",
51,Cu-64 Counts,3/11/2021 19:39,0,1889,8,1,9,60.05,,1890.01,2044.01,2.31,,"[-5,1,0]",
51,Cu-64 Counts,3/11/2021 19:40,0,1889,8,1,10,60.05,,763.2,811.65,3.68,,"[-5,2,0]",
51,Cu-64 Counts,3/11/2021 19:42,0,1889,9,1,1,60.05,,1111.74,1195.43,3.03,,"[-6,-2,0]",
51,Cu-64 Counts,3/11/2021 19:43,0,1889,9,1,2,60.05,,1426.48,1542.53,2.67,,"[-6,-1,0]",
51,Cu-64 Counts,3/11/2021 19:44,0,1889,9,1,3,60.05,,655.68,696.5,3.98,,"[-6,0,0]",
51,Cu-64 Counts,3/11/2021 19:46,0,1889,9,1,4,60.03,,1901.27,2069.43,2.31,,"[-7,-1,0]",
51,Cu-64 Counts,3/11/2021 19:47,0,1889,9,1,5,60.04,,687,732.78,3.88,,"[-7,0,0]",
51,Cu-64 Counts,3/11/2021 19:48,0,1889,9,1,6,60.05,,985.01,1062.25,3.22,,,
51,Cu-64 Counts,3/11/2021 19:49,0,1889,9,1,7,60.06,,1035.91,1119.55,3.14,,"[7,1,1]",
51,Cu-64 Counts,3/11/2021 19:50,0,1889,9,1,8,60.03,,576.2,612.78,4.25,,"[7,2,1]",
51,Cu-64 Counts,3/11/2021 19:52,0,1889,9,1,9,60.05,,282.1,287.59,6.21,I,"[6,-2,1]",
51,Cu-64 Counts,3/11/2021 19:53,0,1889,9,1,10,60.04,,390,407.62,5.22,I,"[6,-1,1]",
51,Cu-64 Counts,3/11/2021 19:55,0,1889,10,1,1,60.05,,1417.17,1548.54,2.68,,"[6,0,1]",
51,Cu-64 Counts,3/11/2021 19:56,0,1889,10,1,2,60.04,,937.76,1017.67,3.31,,"[6,1,1]",
51,Cu-64 Counts,3/11/2021 19:57,0,1889,10,1,3,60.04,,1021.35,1111.73,3.16,,"[6,2,1]",
51,Cu-64 Counts,3/11/2021 19:58,0,1889,10,1,4,60.05,,1447.36,1587.48,2.65,,"[5,-2,1]",
51,Cu-64 Counts,3/11/2021 20:00,0,1889,10,1,5,60.04,,1431.7,1572.1,2.66,,"[5,-1,1]",
51,Cu-64 Counts,3/11/2021 20:01,0,1889,10,1,6,60.04,,10141.83,11309.84,0.99,,"[5,0,1]",
51,Cu-64 Counts,3/11/2021 20:02,0,1889,10,1,7,60.05,,2730.47,3027.18,1.92,,"[5,1,1]",
51,Cu-64 Counts,3/11/2021 20:03,0,1889,10,1,8,60.05,,2907.86,3229.06,1.86,,"[5,2,1]",
51,Cu-64 Counts,3/11/2021 20:04,0,1889,10,1,9,60.05,,1676.84,1853.36,2.46,,"[5,3,1]",
51,Cu-64 Counts,3/11/2021 20:06,0,1889,10,1,10,60.03,,866.56,946.97,3.44,,"[4,-3,1]",
51,Cu-64 Counts,3/11/2021 20:07,0,1889,11,1,1,60.04,,746.74,813.83,3.72,,"[4,-2,1]",
51,Cu-64 Counts,3/11/2021 20:09,0,1889,11,1,2,60.04,,1697.52,1884.21,2.44,,"[4,-1,1]",
51,Cu-64 Counts,3/11/2021 20:10,0,1889,11,1,3,60.04,,2679.38,2991.89,1.94,,"[4,0,1]",
51,Cu-64 Counts,3/11/2021 20:11,0,1889,11,1,4,60.04,,4798.04,5384.63,1.45,,"[4,1,1]",
51,Cu-64 Counts,3/11/2021 20:12,0,1889,11,1,5,60.04,,2220.27,2480.61,2.13,,"[4,2,1]",
51,Cu-64 Counts,3/11/2021 20:14,0,1889,11,1,6,60.05,,957.37,1056.05,3.27,,"[4,3,1]",
51,Cu-64 Counts,3/11/2021 20:15,0,1889,11,1,7,60.05,,1714.93,1913.97,2.43,,"[3,-3,1]",
51,Cu-64 Counts,3/11/2021 20:16,0,1889,11,1,8,60.04,,1535.85,1713.78,2.57,,"[3,-2,1]",
51,Cu-64 Counts,3/11/2021 20:17,0,1889,11,1,9,60.05,,2628.39,2953.7,1.96,,"[3,-1,1]",
51,Cu-64 Counts,3/11/2021 20:19,0,1889,11,1,10,60.03,,37067.91,42182.82,0.52,,"[3,0,1]",
51,Cu-64 Counts,3/11/2021 20:20,0,1889,12,1,1,60.05,,2687373.66,3952032.22,0.05,,"[3,1,1]",
51,Cu-64 Counts,3/11/2021 20:21,0,1889,12,1,2,60.04,,33614.05,38341.34,0.54,,"[3,2,1]",
51,Cu-64 Counts,3/11/2021 20:23,0,1889,12,1,3,60.06,,2909.26,3287.99,1.86,,"[3,3,1]",
51,Cu-64 Counts,3/11/2021 20:24,0,1889,12,1,4,60.03,,3183.94,3606.88,1.78,,"[3,4,1]",
51,Cu-64 Counts,3/11/2021 20:25,0,1889,12,1,5,60.04,,1015.7,1134.12,3.17,,"[2,-3,1]",
51,Cu-64 Counts,3/11/2021 20:26,0,1889,12,1,6,60.05,,2788.05,3160.77,1.9,,"[2,-2,1]",
51,Cu-64 Counts,3/11/2021 20:28,0,1889,12,1,7,60.03,,3810.84,4336.16,1.62,,"[2,-1,1]",
51,Cu-64 Counts,3/11/2021 20:29,0,1889,12,1,8,60.05,,170995.34,198921.97,0.24,,"[2,0,1]",
51,Cu-64 Counts,3/11/2021 20:30,0,1889,12,1,9,60.04,,136026.37,157983.41,0.27,,"[2,1,1]",
51,Cu-64 Counts,3/11/2021 20:31,0,1889,12,1,10,60.04,,35243.11,40569.96,0.53,,"[2,2,1]",
51,Cu-64 Counts,3/11/2021 20:33,0,1889,13,1,1,60.04,,4117.94,4710.91,1.56,,"[2,3,1]",
51,Cu-64 Counts,3/11/2021 20:34,0,1889,13,1,2,60.05,,3053.07,3488.65,1.82,,"[2,4,1]",?
51,Cu-64 Counts,3/11/2021 20:36,0,1889,13,1,3,60.03,,174,174.83,8.12,I,"[1,-3,1]",
51,Cu-64 Counts,3/11/2021 20:37,0,1889,13,1,4,60.06,,2815.4,3221.84,1.89,,"[1,-2,1]",
51,Cu-64 Counts,3/11/2021 20:38,0,1889,13,1,5,60.05,,3533.37,4055.28,1.69,,"[1,-1,1]",
51,Cu-64 Counts,3/11/2021 20:39,0,1889,13,1,6,60.05,,557528.21,679382.29,0.13,,"[1,0,1]",
51,Cu-64 Counts,3/11/2021 20:40,0,1889,13,1,7,60.03,,4059.51,4675,1.57,,"[1,1,1]",
51,Cu-64 Counts,3/11/2021 20:42,0,1889,13,1,8,60.05,,37060.86,43056.07,0.52,,"[1,2,1]",
51,Cu-64 Counts,3/11/2021 20:43,0,1889,13,1,9,60.04,,387455.7,466082.91,0.16,,"[1,3,1]",
51,Cu-64 Counts,3/11/2021 20:44,0,1889,13,1,10,60.03,,2082.2,2392.88,2.2,,"[1,4,1]",
51,Cu-64 Counts,3/11/2021 20:46,0,1889,14,1,1,60.05,,1042,1185.94,3.13,,"[0,-3,1]",
51,Cu-64 Counts,3/11/2021 20:47,0,1889,14,1,2,60.05,,7957.56,9245.46,1.12,,"[0,-2,1]",
51,Cu-64 Counts,3/11/2021 20:48,0,1889,14,1,3,60.05,,3054.98,3535.76,1.82,,"[0,-1,1]",
51,Cu-64 Counts,3/11/2021 20:50,0,1889,14,1,4,60.04,,2543.17,2942.64,1.99,,"[0,0,1]",
51,Cu-64 Counts,3/11/2021 20:51,0,1889,14,1,5,60.03,,3000.41,3481.31,1.83,,"[0,1,1]",
51,Cu-64 Counts,3/11/2021 20:52,0,1889,14,1,6,60.05,,150434.92,178351.68,0.26,,"[0,2,1]",
51,Cu-64 Counts,3/11/2021 20:53,0,1889,14,1,7,60.03,,1432648.24,1918946.22,0.08,,"[0,3,1]",
51,Cu-64 Counts,3/11/2021 20:54,0,1889,14,1,8,60.04,,8295.38,9706.62,1.1,,"[0,4,1]",
51,Cu-64 Counts,3/11/2021 20:56,0,1889,14,1,9,60.02,,812.36,927.59,3.56,,"[-1,-3,1]",
51,Cu-64 Counts,3/11/2021 20:57,0,1889,14,1,10,60.03,,6694.32,7844.7,1.22,,"[-1,-2,1]",
51,Cu-64 Counts,3/11/2021 20:59,0,1889,15,1,1,60.02,,9608.67,11295.02,1.02,,"[-1,-1,1]",
51,Cu-64 Counts,3/11/2021 21:00,0,1889,15,1,2,60.05,,7871.83,9252.46,1.13,,"[-1,0,1]",
51,Cu-64 Counts,3/11/2021 21:01,0,1889,15,1,3,60.03,,6220.9,7315.52,1.27,,"[-1,1,1]",
51,Cu-64 Counts,3/11/2021 21:02,0,1889,15,1,4,60.03,,58137.18,69010.75,0.41,,"[-1,2,1]",
51,Cu-64 Counts,3/11/2021 21:04,0,1889,15,1,5,60.04,,923098.84,1190049.53,0.1,,"[-1,3,1]",
51,Cu-64 Counts,3/11/2021 21:05,0,1889,15,1,6,60.04,,2006.34,2348.45,2.25,,"[-2,-3,1]",
51,Cu-64 Counts,3/11/2021 21:06,0,1889,15,1,7,60.03,,4488.3,5293.58,1.5,,"[-2,-2,1]",
51,Cu-64 Counts,3/11/2021 21:07,0,1889,15,1,8,60.04,,135635.98,162917.86,0.27,,"[-2,-1,1]",
51,Cu-64 Counts,3/11/2021 21:08,0,1889,15,1,9,60.04,,14874.92,17661.03,0.82,,"[-2,0,1]",
51,Cu-64 Counts,3/11/2021 21:10,0,1889,15,1,10,60.05,,1852.08,2174.98,2.34,,"[-2,1,1]",
51,Cu-64 Counts,3/11/2021 21:11,0,1889,16,1,1,60.05,,5455.43,6470.58,1.36,,"[-2,2,1]",
51,Cu-64 Counts,3/11/2021 21:13,0,1889,16,1,2,60.04,,101322.35,121928.08,0.31,,"[-2,3,1]",
51,Cu-64 Counts,3/11/2021 21:14,0,1889,16,1,3,60.05,,3281.85,3889.93,1.75,,"[-3,-3,1]",
51,Cu-64 Counts,3/11/2021 21:15,0,1889,16,1,4,60.04,,3118.79,3700.22,1.8,,"[-3,-2,1]",
51,Cu-64 Counts,3/11/2021 21:16,0,1889,16,1,5,60.05,,88476.87,106659.89,0.33,,"[-3,1,1]",bone
51,Cu-64 Counts,3/11/2021 21:18,0,1889,16,1,6,60.03,,1388.61,1636.15,2.71,,"[-3,2,1]",
51,Cu-64 Counts,3/11/2021 21:19,0,1889,16,1,7,60.06,,2467.44,2930.5,2.02,,"[-3,3,1]",
51,Cu-64 Counts,3/11/2021 21:20,0,1889,16,1,8,60.06,,937.21,1097.56,3.31,,"[-4,-3,1]",
51,Cu-64 Counts,3/11/2021 21:21,0,1889,16,1,9,60.05,,453,517.28,4.82,,"[-4,-2,1]",
51,Cu-64 Counts,3/11/2021 21:23,0,1889,16,1,10,60.03,,9967.9,11972.72,1,,"[-4,2,1]",bone
51,Cu-64 Counts,3/11/2021 21:24,0,1889,17,1,1,60.05,,588.89,682.34,4.2,,"[-4,2,1]",
51,Cu-64 Counts,3/11/2021 21:25,0,1889,17,1,2,60.05,,1152.73,1363,2.98,,"[-5,-2,1]",bone
51,Cu-64 Counts,3/11/2021 21:27,0,1889,17,1,3,60.05,,1070,1264.64,3.09,,"[-5,2,1]",
51,Cu-64 Counts,3/11/2021 21:28,0,1889,17,1,4,60.04,,353.84,400.7,5.49,I,"[-6,-2,1]",
51,Cu-64 Counts,3/11/2021 21:29,0,1889,17,1,5,60.04,,429.14,492.27,4.96,I,"[-6,1,1]",
51,Cu-64 Counts,3/11/2021 21:30,0,1889,17,1,6,60.03,,994.96,1178.34,3.21,,"[-6,0,1]",
51,Cu-64 Counts,3/11/2021 21:32,0,1889,17,1,7,60.04,,641.88,751.3,4.02,,"[-6,-1,1]",
51,Cu-64 Counts,3/11/2021 21:33,0,1889,17,1,8,60.03,,15770.28,19150.3,0.8,,"[-7,0,1]",
51,Cu-64 Counts,3/11/2021 21:34,0,1889,17,1,9,60.04,,219.33,239.46,7.13,I,"[-7,-1,1]",
51,Cu-64 Counts,3/11/2021 21:35,0,1889,17,1,10,60.03,,63,49.51,15.68,I,,
